symbol,quantity,pnl,timestamp
ITC,-32,1655.74,2025-07-14 23:24:14
RELIANCE,-14,-2649.03,2025-07-14 23:00:26
RELIANCE,35,-4089.54,2025-07-14 22:49:58
SBIN,-74,4246.38,2025-07-14 22:45:27
ITC,-28,4115.99,2025-07-14 22:39:31
NIFTY,-50,-2421.06,2025-07-14 22:47:55
ITC,-96,-4341.47,2025-07-14 23:16:13
INFY,-22,2519.19,2025-07-14 22:56:49
TCS,93,-4713.73,2025-07-14 23:30:21
RELIANCE,80,-3553.34,2025-07-14 23:13:10
ONGC,-38,3018.98,2025-07-14 22:57:25
NIFTY,-76,3922.97,2025-07-14 23:08:03
BANKNIFTY,-7,-2833.66,2025-07-14 22:38:27
NIFTY,-13,-2606.03,2025-07-14 23:07:31
RELIANCE,39,-3836.59,2025-07-14 23:27:26
BANKNIFTY,-93,-1872.1,2025-07-14 23:14:22
TCS,-24,4454.28,2025-07-14 23:06:12
HDFC,-67,-2108.7,2025-07-14 22:39:06
TCS,-28,-951.15,2025-07-14 22:36:25
ONGC,-70,4726.67,2025-07-14 23:18:48
SBIN,25,1025.26,2025-07-14 23:20:54
HDFC,99,-4219.9,2025-07-14 23:20:21
NIFTY,99,2020.98,2025-07-14 23:23:58
ICICIBANK,-75,3631.47,2025-07-14 23:02:27
BANKNIFTY,-58,1192.67,2025-07-14 22:56:08
ONGC,40,-946.09,2025-07-14 23:18:16
NIFTY,80,-2516.61,2025-07-14 23:01:34
ICICIBANK,32,-375.04,2025-07-14 22:40:23
HDFC,49,1726.62,2025-07-14 22:32:56
NIFTY,33,-623.28,2025-07-14 22:56:17
ICICIBANK,88,3245.72,2025-07-14 23:00:54
NIFTY,-82,3411.74,2025-07-14 22:59:08
HDFC,-1,3098.23,2025-07-14 23:30:53
ICICIBANK,-69,4500.93,2025-07-14 22:56:55
ONGC,-29,1427.16,2025-07-14 23:16:25
NIFTY,-15,-1469.38,2025-07-14 22:50:41
TCS,54,4350.78,2025-07-14 23:12:56
ICICIBANK,30,4508.06,2025-07-14 22:57:07
TCS,50,3143.73,2025-07-14 23:16:25
RELIANCE,56,-722.13,2025-07-14 22:44:53
ITC,31,-830.76,2025-07-14 22:43:25
ONGC,66,1583.17,2025-07-14 23:13:52
INFY,4,3896.56,2025-07-14 22:45:27
ITC,59,1760.83,2025-07-14 23:21:06
RELIANCE,61,2869.99,2025-07-14 23:29:54
ITC,-35,-973.62,2025-07-14 23:28:55
ONGC,73,4270.18,2025-07-14 22:44:04
NIFTY,-14,-1751.33,2025-07-14 23:10:16
NIFTY,-94,-3448.07,2025-07-14 23:29:59
SBIN,-52,-4189.65,2025-07-14 23:19:50
NIFTY,38,-877.82,2025-07-14 23:16:58
NIFTY,-59,464.61,2025-07-14 22:50:47
ONGC,24,-4110.79,2025-07-14 23:10:00
SBIN,20,-3120.93,2025-07-14 22:47:20
SBIN,-22,-2370.04,2025-07-14 23:23:28
ICICIBANK,89,4397.63,2025-07-14 23:17:52
TCS,-30,-446.51,2025-07-14 23:08:50
INFY,49,-4264.82,2025-07-14 23:16:56
ICICIBANK,-60,4752.0,2025-07-14 23:15:48
NIFTY,32,-3285.18,2025-07-14 23:28:07
HDFC,86,-4259.13,2025-07-14 23:07:14
TCS,4,-4815.58,2025-07-14 23:00:36
INFY,-35,-942.47,2025-07-14 22:54:51
TCS,67,-4699.83,2025-07-14 23:12:40
HDFC,-70,-3373.48,2025-07-14 23:24:26
INFY,-96,-4471.0,2025-07-14 22:47:17
NIFTY,2,1652.19,2025-07-14 22:32:19
INFY,-50,174.29,2025-07-14 23:17:58
HDFC,13,-3743.72,2025-07-14 23:29:37
INFY,24,-4217.6,2025-07-14 23:09:55
SBIN,-95,-3756.65,2025-07-14 22:34:13
NIFTY,4,-1426.59,2025-07-14 23:30:20
HDFC,48,-1805.86,2025-07-14 23:24:41
ICICIBANK,-54,887.04,2025-07-14 23:00:14
RELIANCE,38,-1492.85,2025-07-14 22:36:47
ITC,-96,-4985.54,2025-07-14 23:11:52
ITC,31,-3581.46,2025-07-14 23:12:48
BANKNIFTY,76,1422.93,2025-07-14 22:52:17
TCS,26,1855.99,2025-07-14 23:15:18
BANKNIFTY,-99,-2418.05,2025-07-14 23:10:02
NIFTY,-99,-287.46,2025-07-14 23:16:17
NIFTY,26,-3054.57,2025-07-14 23:12:49
ICICIBANK,-58,-4023.83,2025-07-14 23:28:54
INFY,19,3679.7,2025-07-14 23:08:50
SBIN,19,386.6,2025-07-14 22:36:54
BANKNIFTY,46,-379.79,2025-07-14 22:43:32
TCS,63,-3742.11,2025-07-14 23:08:13
HDFC,48,-4493.66,2025-07-14 22:57:26
BANKNIFTY,49,3502.9,2025-07-14 23:17:36
TCS,34,65.48,2025-07-14 22:39:57
HDFC,7,-3194.75,2025-07-14 22:36:38
ICICIBANK,1,2791.19,2025-07-14 22:51:42
HDFC,-26,-4432.02,2025-07-14 22:59:17
NIFTY,-15,1500.49,2025-07-14 22:41:35
ICICIBANK,41,-1198.84,2025-07-14 22:33:10
ONGC,41,1939.67,2025-07-14 22:32:52
SBIN,-15,108.16,2025-07-14 23:27:28
SBIN,7,1300.71,2025-07-14 23:25:04
NIFTY,-62,3978.66,2025-07-14 23:07:19
HDFC,-1,2541.46,2025-07-14 22:31:26
TCS,97,-1119.05,2025-07-14 23:08:44
ICICIBANK,-30,433.83,2025-07-14 22:58:46
BANKNIFTY,-81,2511.9,2025-07-14 23:28:18
BANKNIFTY,4,-3729.86,2025-07-14 22:51:56
RELIANCE,-95,-2452.41,2025-07-14 22:45:47
ITC,33,3017.46,2025-07-14 23:27:30
RELIANCE,-14,2429.36,2025-07-14 23:20:14
HDFC,74,274.87,2025-07-14 22:55:19
ONGC,34,144.11,2025-07-14 22:40:20
ITC,45,-1420.31,2025-07-14 22:55:43
HDFC,64,1399.92,2025-07-14 23:20:17
ICICIBANK,45,2839.65,2025-07-14 23:26:13
BANKNIFTY,2,-1345.76,2025-07-14 23:18:17
RELIANCE,-91,3589.14,2025-07-14 22:33:08
HDFC,-53,-3922.59,2025-07-14 22:38:10
INFY,47,-2753.47,2025-07-14 23:29:05
INFY,77,1570.34,2025-07-14 22:47:30
TCS,-78,2017.91,2025-07-14 22:55:04
HDFC,-13,991.97,2025-07-14 22:46:03
ICICIBANK,62,-4364.38,2025-07-14 23:22:13
INFY,-46,-3992.99,2025-07-14 22:58:54
RELIANCE,-67,-4715.95,2025-07-14 23:24:31
ICICIBANK,11,3971.83,2025-07-14 22:39:38
INFY,-94,1948.47,2025-07-14 22:53:31
SBIN,-78,-2651.08,2025-07-14 23:05:42
NIFTY,57,-2424.08,2025-07-14 23:29:12
ICICIBANK,93,-360.46,2025-07-14 22:44:15
SBIN,3,61.21,2025-07-14 23:07:13
HDFC,69,-2513.7,2025-07-14 23:24:16
ITC,-2,-3849.08,2025-07-14 22:39:46
BANKNIFTY,81,362.98,2025-07-14 23:27:20
ONGC,-56,-4400.59,2025-07-14 23:13:12
SBIN,-82,-1037.3,2025-07-14 23:16:28
RELIANCE,99,2972.28,2025-07-14 22:50:39
ITC,-57,-4897.63,2025-07-14 23:17:25
RELIANCE,-26,4333.68,2025-07-14 22:55:20
ITC,62,2964.59,2025-07-14 22:41:55
ONGC,-78,-2305.51,2025-07-14 23:25:10
INFY,-76,2596.24,2025-07-14 22:42:05
RELIANCE,16,1111.15,2025-07-14 23:19:04
BANKNIFTY,-77,4329.85,2025-07-14 22:51:04
HDFC,-80,-4650.86,2025-07-14 22:44:59
BANKNIFTY,-66,4299.53,2025-07-14 23:20:04
TCS,90,4329.83,2025-07-14 22:56:35
TCS,80,-4769.44,2025-07-14 22:49:27
ICICIBANK,85,-4642.83,2025-07-14 22:40:40
ONGC,-24,1951.22,2025-07-14 23:16:02
TCS,64,-2956.93,2025-07-14 23:16:33
INFY,-40,-1085.16,2025-07-14 23:11:18
BANKNIFTY,-21,1334.23,2025-07-14 23:03:44
BANKNIFTY,-37,-573.73,2025-07-14 23:13:32
SBIN,44,-614.89,2025-07-14 23:17:17
TCS,63,-373.5,2025-07-14 22:50:21
ICICIBANK,32,-2907.92,2025-07-14 22:57:09
NIFTY,-1,-1253.94,2025-07-14 22:59:47
INFY,89,-2785.88,2025-07-14 23:02:42
NIFTY,55,4836.83,2025-07-14 22:56:21
NIFTY,51,3035.86,2025-07-14 22:34:52
INFY,-50,2356.59,2025-07-14 22:53:35
ONGC,-86,-4579.42,2025-07-14 22:53:34
NIFTY,-10,4558.14,2025-07-14 22:52:20
ITC,-20,-1964.44,2025-07-14 22:38:45
BANKNIFTY,-27,2336.62,2025-07-14 22:36:04
ONGC,73,-1536.7,2025-07-14 22:53:41
HDFC,79,236.7,2025-07-14 22:49:41
NIFTY,-96,4203.62,2025-07-14 22:31:24
BANKNIFTY,-28,-1601.41,2025-07-14 23:15:58
BANKNIFTY,59,1505.42,2025-07-14 22:50:51
ICICIBANK,15,-822.3,2025-07-14 22:39:25
HDFC,-75,-2138.53,2025-07-14 23:08:45
BANKNIFTY,-7,-2015.87,2025-07-14 22:53:14
ICICIBANK,-59,-3612.79,2025-07-14 22:44:07
ITC,-15,-2767.48,2025-07-14 23:18:58
BANKNIFTY,32,2244.4,2025-07-14 22:54:28
ONGC,-86,2045.98,2025-07-14 22:31:52
ICICIBANK,-52,-639.0,2025-07-14 23:00:21
ITC,27,-392.51,2025-07-14 22:57:45
ONGC,40,4684.34,2025-07-14 22:49:36
BANKNIFTY,-79,4544.78,2025-07-14 22:56:25
ONGC,35,3036.42,2025-07-14 23:27:53
ITC,-57,-4341.34,2025-07-14 22:35:33
HDFC,94,323.05,2025-07-14 23:23:34
ONGC,-69,-3663.55,2025-07-14 23:30:24
NIFTY,6,4750.26,2025-07-14 22:45:02
HDFC,58,1366.48,2025-07-14 23:13:39
HDFC,-55,-4414.24,2025-07-14 23:17:53
ITC,-43,3683.48,2025-07-14 23:26:05
TCS,-29,4766.8,2025-07-14 22:40:41
NIFTY,-87,465.99,2025-07-14 23:21:08
BANKNIFTY,41,-955.57,2025-07-14 23:13:41
BANKNIFTY,-27,-4020.23,2025-07-14 23:23:35
ITC,-25,3302.11,2025-07-14 23:18:01
INFY,32,4491.15,2025-07-14 22:44:14
NIFTY,-17,3337.71,2025-07-14 23:17:02
NIFTY,-28,1749.97,2025-07-14 22:31:35
RELIANCE,47,-2393.17,2025-07-14 23:26:19
ITC,95,-4418.58,2025-07-14 23:02:00
NIFTY,-10,4672.82,2025-07-14 23:11:30
RELIANCE,-30,-801.11,2025-07-14 23:10:47
BANKNIFTY,40,3302.48,2025-07-14 22:46:02
SBIN,68,-2279.43,2025-07-14 23:07:11
RELIANCE,67,-3226.3,2025-07-14 22:38:58
BANKNIFTY,-36,-3113.02,2025-07-14 22:45:51
RELIANCE,-57,-4533.06,2025-07-14 22:32:32
ITC,63,2858.47,2025-07-14 22:53:28
HDFC,-79,-4014.36,2025-07-14 23:30:07
INFY,96,-1337.42,2025-07-14 23:16:25
NIFTY,49,1848.85,2025-07-14 23:16:19
RELIANCE,-76,4959.25,2025-07-14 23:07:50
ICICIBANK,86,2929.3,2025-07-14 22:43:20
NIFTY,-81,831.68,2025-07-14 23:18:26
RELIANCE,32,3304.88,2025-07-14 23:05:08
INFY,41,4046.3,2025-07-14 23:07:40
TCS,-71,-4935.14,2025-07-14 23:30:37
RELIANCE,97,4300.41,2025-07-14 23:02:08
ITC,33,-4396.88,2025-07-14 22:47:57
ITC,-62,1117.02,2025-07-14 22:53:17
TCS,89,-2319.09,2025-07-14 23:03:57
HDFC,-61,-3084.34,2025-07-14 23:18:18
SBIN,-45,1913.59,2025-07-14 22:37:03
ITC,36,-2679.07,2025-07-14 23:14:29
NIFTY,-45,-1807.46,2025-07-14 23:11:20
TCS,-88,1496.63,2025-07-14 22:35:33
INFY,-80,2720.15,2025-07-14 22:57:33
INFY,-20,3336.69,2025-07-14 22:34:54
NIFTY,60,221.69,2025-07-14 22:47:37
SBIN,45,2496.47,2025-07-14 22:42:45
RELIANCE,73,3624.7,2025-07-14 22:59:02
HDFC,31,-182.66,2025-07-14 23:10:49
ICICIBANK,32,-2212.17,2025-07-14 22:45:58
RELIANCE,-79,-2482.7,2025-07-14 22:32:23
TCS,-35,-161.5,2025-07-14 23:07:59
BANKNIFTY,68,3794.7,2025-07-14 22:41:49
NIFTY,-71,394.5,2025-07-14 22:54:29
ITC,-42,-3349.39,2025-07-14 23:27:40
SBIN,-53,2450.48,2025-07-14 22:48:30
ICICIBANK,-63,-120.34,2025-07-14 22:45:31
ICICIBANK,22,1591.94,2025-07-14 22:47:09
RELIANCE,62,3594.91,2025-07-14 23:01:07
NIFTY,60,-4003.6,2025-07-14 22:32:27
TCS,3,-4486.44,2025-07-14 23:16:49
BANKNIFTY,59,4250.56,2025-07-14 22:57:50
ICICIBANK,-78,3588.19,2025-07-14 22:55:59
HDFC,89,4414.3,2025-07-14 23:11:32
ONGC,-62,3902.63,2025-07-14 22:37:17
INFY,69,-2205.33,2025-07-14 23:20:22
TCS,36,3420.29,2025-07-14 22:55:27
ONGC,-91,885.69,2025-07-14 23:10:03
INFY,100,-2832.21,2025-07-14 23:23:22
INFY,-51,111.48,2025-07-14 23:13:27
ITC,-26,4390.42,2025-07-14 22:34:24
HDFC,-15,-3721.69,2025-07-14 23:20:12
SBIN,66,-2781.56,2025-07-14 23:21:56
ITC,54,-3437.59,2025-07-14 22:40:40
ICICIBANK,99,-1513.64,2025-07-14 23:16:16
ITC,10,-3017.53,2025-07-14 22:51:00
ICICIBANK,-31,2818.13,2025-07-14 23:27:04
ONGC,59,2283.67,2025-07-14 22:32:32
ONGC,25,387.28,2025-07-14 22:55:05
ICICIBANK,75,4350.01,2025-07-14 23:27:46
RELIANCE,-98,372.59,2025-07-14 23:15:36
SBIN,-56,2207.34,2025-07-14 23:09:38
INFY,77,-1905.17,2025-07-14 23:25:53
NIFTY,20,125.34,2025-07-14 22:36:55
ITC,-82,-1824.28,2025-07-14 23:10:37
ITC,90,-4489.15,2025-07-14 22:42:08
HDFC,75,-1071.39,2025-07-14 23:27:57
ICICIBANK,-58,-4208.01,2025-07-14 23:12:10
ITC,-95,3070.92,2025-07-14 22:59:58
ICICIBANK,-82,-361.25,2025-07-14 23:12:21
BANKNIFTY,-33,-4254.97,2025-07-14 22:48:10
ONGC,-84,-3503.86,2025-07-14 23:30:17
RELIANCE,-3,-1542.68,2025-07-14 22:46:48
ITC,10,2472.37,2025-07-14 22:59:24
ITC,64,2785.22,2025-07-14 23:25:33
RELIANCE,88,-3970.36,2025-07-14 22:59:15
ICICIBANK,-22,-2272.07,2025-07-14 23:05:37
NIFTY,-28,-4982.89,2025-07-14 22:35:54
TCS,43,-751.63,2025-07-14 23:16:50
SBIN,58,-263.76,2025-07-14 23:12:32
ICICIBANK,67,4546.43,2025-07-14 22:38:40
SBIN,48,-943.88,2025-07-14 23:26:32
SBIN,88,-3131.15,2025-07-14 22:55:01
ONGC,74,3008.57,2025-07-14 22:36:36
RELIANCE,98,3220.71,2025-07-14 23:00:59
ITC,74,-406.82,2025-07-14 22:56:35
SBIN,43,-3793.39,2025-07-14 22:52:14
BANKNIFTY,-30,-1841.67,2025-07-14 23:07:43
INFY,47,4803.49,2025-07-14 23:05:50
TCS,-1,-4747.34,2025-07-14 22:40:33
TCS,71,-3407.99,2025-07-14 23:11:25
HDFC,28,3152.88,2025-07-14 23:23:47
ITC,-40,-2384.71,2025-07-14 23:27:11
ICICIBANK,-98,1754.12,2025-07-14 22:49:29
ITC,70,-279.21,2025-07-14 23:29:35
HDFC,-67,3320.47,2025-07-14 22:33:55
INFY,-48,4756.48,2025-07-14 23:12:36
TCS,-80,-1792.25,2025-07-14 22:32:59
SBIN,14,2025.26,2025-07-14 22:47:26
RELIANCE,-1,1128.61,2025-07-14 23:06:12
TCS,95,-1799.53,2025-07-14 23:19:29
ONGC,-83,297.18,2025-07-14 22:58:39
ITC,84,3061.19,2025-07-14 22:59:41
SBIN,99,-1738.67,2025-07-14 22:56:23
ICICIBANK,-41,-2548.49,2025-07-14 23:08:45
TCS,-59,3545.56,2025-07-14 23:10:50
ICICIBANK,100,-4646.44,2025-07-14 23:18:35
HDFC,16,157.16,2025-07-14 23:20:49
BANKNIFTY,-29,-4952.22,2025-07-14 23:07:39
NIFTY,33,-38.7,2025-07-14 22:38:31
ICICIBANK,-66,1482.11,2025-07-14 22:43:44
NIFTY,29,-1905.37,2025-07-14 23:20:23
TCS,-20,2371.25,2025-07-14 22:41:53
ICICIBANK,-43,-4158.08,2025-07-14 23:27:04
SBIN,10,-4338.03,2025-07-14 22:39:33
BANKNIFTY,-64,-1788.08,2025-07-14 22:32:23
RELIANCE,-29,1634.05,2025-07-14 22:50:21
TCS,-37,-374.77,2025-07-14 23:29:32
BANKNIFTY,46,1035.31,2025-07-14 23:28:13
INFY,93,-4939.53,2025-07-14 23:27:27
INFY,54,-3963.02,2025-07-14 23:05:40
RELIANCE,-88,-1058.93,2025-07-14 23:21:01
RELIANCE,61,-4868.07,2025-07-14 22:58:25
ITC,61,2660.45,2025-07-14 22:57:03
TCS,-42,-3509.15,2025-07-14 22:38:48
RELIANCE,14,-4043.19,2025-07-14 23:00:00
NIFTY,100,265.33,2025-07-14 23:05:05
BANKNIFTY,73,-3117.53,2025-07-14 23:02:03
ONGC,-66,-3818.39,2025-07-14 22:34:46
TCS,34,2249.84,2025-07-14 23:05:46
NIFTY,51,-3642.36,2025-07-14 22:51:38
INFY,-42,-3589.79,2025-07-14 23:01:47
HDFC,46,2337.22,2025-07-14 22:58:14
BANKNIFTY,90,-3071.36,2025-07-14 23:24:07
INFY,-4,4000.57,2025-07-14 22:54:49
ITC,-55,-230.22,2025-07-14 23:01:51
ONGC,60,2697.15,2025-07-14 22:52:32
INFY,15,3796.68,2025-07-14 23:12:50
HDFC,-35,-29.21,2025-07-14 23:04:33
ONGC,72,3102.43,2025-07-14 22:41:07
RELIANCE,-72,-1274.92,2025-07-14 22:50:04
ITC,-99,3613.13,2025-07-14 22:36:46
HDFC,11,1823.52,2025-07-14 23:25:53
BANKNIFTY,64,637.38,2025-07-14 22:54:16
HDFC,-95,-3171.82,2025-07-14 23:17:55
SBIN,12,-119.29,2025-07-14 22:46:34
HDFC,43,2015.36,2025-07-14 23:16:23
BANKNIFTY,-34,1318.74,2025-07-14 22:35:32
TCS,92,-4907.23,2025-07-14 23:20:24
BANKNIFTY,72,866.93,2025-07-14 23:05:47
TCS,-97,4114.46,2025-07-14 23:29:22
TCS,38,4973.75,2025-07-14 23:11:00
ICICIBANK,87,-437.23,2025-07-14 22:37:35
ICICIBANK,-33,-1842.36,2025-07-14 23:07:35
HDFC,-8,-841.52,2025-07-14 22:33:44
INFY,73,284.72,2025-07-14 23:02:05
TCS,-58,-4913.88,2025-07-14 22:44:23
INFY,-78,258.76,2025-07-14 22:52:44
HDFC,4,-12.42,2025-07-14 23:29:52
HDFC,86,3173.88,2025-07-14 23:24:50
SBIN,-5,1481.62,2025-07-14 22:41:30
ONGC,-51,17.19,2025-07-14 22:57:33
INFY,-17,-3617.24,2025-07-14 22:32:20
SBIN,28,3760.26,2025-07-14 22:51:25
ITC,23,421.68,2025-07-14 22:42:17
HDFC,60,-3982.26,2025-07-14 22:52:03
HDFC,-58,1910.35,2025-07-14 22:36:55
NIFTY,31,416.36,2025-07-14 23:05:49
ITC,78,2186.85,2025-07-14 22:50:39
INFY,41,1373.52,2025-07-14 22:41:31
ITC,99,-2821.84,2025-07-14 22:57:58
HDFC,-45,-77.88,2025-07-14 22:58:42
BANKNIFTY,19,-1129.71,2025-07-14 22:32:18
INFY,53,3369.14,2025-07-14 23:22:30
NIFTY,40,1018.02,2025-07-14 23:04:36
ITC,42,-1335.28,2025-07-14 23:09:13
HDFC,-75,-3468.5,2025-07-14 23:15:14
NIFTY,41,-887.11,2025-07-14 23:29:20
ONGC,-28,1548.28,2025-07-14 22:48:08
ICICIBANK,85,2877.73,2025-07-14 22:35:26
TCS,83,-4715.87,2025-07-14 23:26:24
BANKNIFTY,-89,3310.14,2025-07-14 23:24:15
ONGC,16,-2689.25,2025-07-14 22:32:00
ONGC,50,-238.33,2025-07-14 22:38:57
ICICIBANK,81,1663.24,2025-07-14 22:48:17
ONGC,69,298.14,2025-07-14 23:04:02
INFY,-87,4546.58,2025-07-14 23:23:24
HDFC,-41,-2554.23,2025-07-14 23:08:51
NIFTY,2,4874.66,2025-07-14 23:07:24
RELIANCE,-69,-713.56,2025-07-14 23:23:50
SBIN,-21,-2570.5,2025-07-14 23:04:27
HDFC,55,3740.79,2025-07-14 22:48:39
ICICIBANK,-89,1731.07,2025-07-14 22:34:31
INFY,93,-1603.34,2025-07-14 22:36:34
SBIN,28,-671.44,2025-07-14 23:24:30
TCS,76,1800.99,2025-07-14 23:09:00
SBIN,8,-4918.52,2025-07-14 22:31:22
BANKNIFTY,-76,-2292.31,2025-07-14 23:03:36
INFY,42,1603.23,2025-07-14 22:42:48
NIFTY,54,-136.37,2025-07-14 22:49:04
ICICIBANK,1,2346.28,2025-07-14 22:44:05
RELIANCE,48,4601.66,2025-07-14 23:15:22
NIFTY,-100,-265.18,2025-07-14 23:00:11
HDFC,3,2080.53,2025-07-14 23:16:32
ONGC,-56,173.21,2025-07-14 22:46:31
TCS,-76,-2687.88,2025-07-14 22:37:23
NIFTY,94,-4001.18,2025-07-14 22:50:19
NIFTY,23,-1855.56,2025-07-14 23:27:08
SBIN,96,1058.85,2025-07-14 22:51:56
NIFTY,-47,-3280.01,2025-07-14 23:05:04
NIFTY,-87,-4233.01,2025-07-14 23:11:06
SBIN,-88,214.79,2025-07-14 23:19:42
INFY,74,-2317.42,2025-07-14 23:01:42
NIFTY,2,3988.53,2025-07-14 23:21:12
INFY,-44,-3919.63,2025-07-14 22:49:50
ICICIBANK,-55,-4796.75,2025-07-14 22:56:55
SBIN,69,4067.45,2025-07-14 23:15:12
HDFC,-27,-2612.26,2025-07-14 23:21:33
INFY,73,-4191.23,2025-07-14 23:06:11
RELIANCE,17,-683.59,2025-07-14 22:51:39
TCS,26,374.28,2025-07-14 23:11:10
TCS,25,-4684.96,2025-07-14 22:59:11
ONGC,2,4753.12,2025-07-14 23:01:38
BANKNIFTY,28,-2567.71,2025-07-14 22:39:13
NIFTY,-36,-343.82,2025-07-14 22:50:56
INFY,-42,1070.5,2025-07-14 23:25:47
SBIN,-92,-2016.62,2025-07-14 23:03:51
ITC,-46,-2144.18,2025-07-14 22:50:26
INFY,39,-2691.83,2025-07-14 22:48:33
ICICIBANK,62,-3572.99,2025-07-14 23:11:41
ICICIBANK,89,664.94,2025-07-14 22:58:44
BANKNIFTY,2,-2224.61,2025-07-14 22:33:50
INFY,66,632.85,2025-07-14 23:30:18
TCS,69,-1623.08,2025-07-14 22:45:03
ICICIBANK,-76,-2702.92,2025-07-14 22:49:33
ITC,-54,-1041.78,2025-07-14 22:52:59
HDFC,31,3347.19,2025-07-14 23:23:31
SBIN,55,4292.0,2025-07-14 23:07:38
BANKNIFTY,66,-4723.27,2025-07-14 22:38:45
TCS,-85,-947.1,2025-07-14 23:13:02
HDFC,11,-3290.75,2025-07-14 23:23:49
SBIN,-33,-327.37,2025-07-14 23:23:54
NIFTY,36,3456.46,2025-07-14 22:44:56
RELIANCE,82,-2851.75,2025-07-14 23:09:16
SBIN,-65,-3822.59,2025-07-14 22:39:57
SBIN,46,745.11,2025-07-14 23:30:21
ONGC,67,4244.96,2025-07-14 22:55:52
RELIANCE,43,-1226.27,2025-07-14 22:33:21
BANKNIFTY,99,4878.27,2025-07-14 23:24:08
ITC,71,1770.88,2025-07-14 23:16:30
ONGC,54,4284.71,2025-07-14 22:38:00
SBIN,46,-389.0,2025-07-14 22:45:43
SBIN,-89,4048.79,2025-07-14 22:32:17
HDFC,-55,-3874.1,2025-07-14 23:23:48
BANKNIFTY,-99,-3440.17,2025-07-14 23:22:26
INFY,15,-793.86,2025-07-14 22:53:48
RELIANCE,58,3773.81,2025-07-14 23:10:07
NIFTY,38,-4179.67,2025-07-14 22:50:20
ICICIBANK,-19,1783.3,2025-07-14 22:36:27
HDFC,13,-836.76,2025-07-14 22:51:00
ITC,7,-939.99,2025-07-14 22:50:13
ONGC,-63,3463.68,2025-07-14 23:22:44
HDFC,-77,-910.65,2025-07-14 23:20:31
INFY,9,338.8,2025-07-14 23:25:05
ONGC,77,-3416.15,2025-07-14 22:39:24
NIFTY,46,-1248.68,2025-07-14 23:24:57
TCS,31,2916.0,2025-07-14 23:06:14
ITC,-29,-4436.25,2025-07-14 22:44:03
NIFTY,90,-2038.92,2025-07-14 23:23:29
SBIN,50,-2502.16,2025-07-14 22:53:36
BANKNIFTY,-81,-1012.9,2025-07-14 23:22:38
RELIANCE,24,-2535.86,2025-07-14 23:24:52
INFY,83,-2410.86,2025-07-14 22:59:49
INFY,15,-2823.92,2025-07-14 22:39:46
NIFTY,59,-1161.25,2025-07-14 23:31:05
ICICIBANK,-69,-2755.39,2025-07-14 23:17:23
BANKNIFTY,-54,-4663.39,2025-07-14 22:44:43
BANKNIFTY,25,740.28,2025-07-14 23:12:09
SBIN,-40,-2937.73,2025-07-14 22:43:51
TCS,13,4640.44,2025-07-14 23:11:23
SBIN,-53,-1935.78,2025-07-14 23:24:42
HDFC,-69,1045.22,2025-07-14 23:29:19
NIFTY,18,-3807.64,2025-07-14 23:04:45
ITC,63,758.14,2025-07-14 23:10:57
